Point Code,Bulk Density (g/cm^3)
LOYOLA 64,1.30997115771666
SETON 2,1.01607661204451
SETON 6,1.15689942429979
SETON 9,1.4294820773288
SETON 13,1.14820456515798
SETON 15,1.34752905827792
SETON 17,1.33548683414761
SETON 20,1.41792105461703
SETON 23,1.2550055183421
SETON 26,1.06637743442295
SETON 29,1.44487620203589
GS 2,1.03619694099588
GS 5,1.01311124922908
GS 8,1.34680451918276
GS 10,1.29152668461989
GS 14,1.27360541379889
GS 18,1.47255657512886
GS 21,1.40590798547743
GS 26,0.983381077498522
GS 28,1.30827226225467
GS 31,1.56938565820736
BEL 1,0.963749928409542
BEL 2,1.01231385747728
FF 1,1.10145167803535
FF 11,0.983485519939459
FF 12,1.33933305582471
FF 13,1.19657256672402
FF 2,1.63429325438401
FF 3,1.33917832185226
FF 4,1.09933299552336
FF 14,1.05101283323826
FF 5,1.06255818881727
FF 6,1.41626593606964
FF 9,1.10114221009045
HEPP 1,1.04710112994198
HEPP 10,1.15353071219153
HEPP 11,1.21194368903048
HEPP 12,1.48628611994623
HEPP 13,1.16548966333636
HEPP 2,1.14068199358161
HEPP 3,1.07969881014192
HEPP 4,1.44723631783761
HEPP 5,1.00984108957139
HEPP 6,1.20947809565897
HEPP 7,1.1999259785109
HEPP 8,1.33263528530293
HEPP 9,1.15489016066377
JH 1,1.44696002830994
JH 10,1.61211820604131
JH 11,1.34931953728477
JH 12,1.53080028186718
JH 13,1.3800829292644
JH 14,1.21082987137225
JH 15,1.53411218034535
JH 3,1.20123759059044
JH 4,1.44575267208657
JH 5,1.27373359099193
JH 6,1.23705910117689
JH 7,1.60797098100588
JH 8,1.36970512413142
JH 9,1.44561648239379
NMN 1,1.19030894007401
NMN 2,1.26204018451759
NMN 3,1.29937239341568
SGDW 1,1.25503851467562
SGDW 10,1.59649507212578
SGDW 11,1.1919110679552
SGDW 12,0.980258136184631
SGDW 2,0.961840542273135
SGDW 3,1.16354984968756
SGDW 4,1.17018149557326
SGDW 5,1.43378105217269
SGDW 6,1.01897389047583
SGDW 7,1.31322322551192
SGDW 8,1.09574417568697
SGDW 9,1.17932845743767
SW 10,1.37172771819988
SW 13,1.32044071372204
SW 14,0.861885746769652
SW 4,0.665844598792831
SW 5,1.28472465420278
SW 6,1.48263810880314
SW 7,0.924993543180307
SW 8,1.03742193672121
SW 9,1.86021741613835
WG 2,1.03956914148177
WG 3,1.11670109447188
WG 4,1.10812535094898
G1,0.750702048381448
G2,0.99692889665084
G3,0.974792212077403
W1,0.767747896114582
W2,1.11508980977891
W3,0.893304879824329
W4,0.830152197328196
MDSB 2,1.23473264991458
MDSB 4,1.06818984400004
MDSB 7,0.934531959594017
MDSB 9,1.14276411668367
MDSB 12,1.07054664432651
MDSB 13,1.41451812899327
MDSB 16,1.0975401332574
MDSB 19,0.761864909044264
MDSB 22,0.715637896728687
MDSB 25,1.04276289711864
MDSB 28,1.18646102949902
MDSB 31,1.09840469881925
MDSB 34,1.22467949892058
MDSB 37,1.17816780298558
MDSB 40,1.14701074569671
MDSB 43,1.11358028175178
MDSB 45,1.18683777633696
MDSB 48,0.975134569105469
SINAI 4,1.55617903725762
SINAI 7,1.14593054220151
SINAI 9,1.32686711224068
SINAI 13,0.996895960247293
SINAI 16,1.1410283349805
SINAI 19,1.34375722397503
SINAI 23,1.40147849135138
SINAI 26,1.42108806259975
SINAI 27,1.1043835162603
SINAI 31,1.39043222270054
SINAI 34,1.38209178976894
FRIENDS 1,1.39780691782921
FRIENDS 4,1.27203612641038
FRIENDS 7,1.24805496993561
FRIENDS 11,1.20344004390764
FRIENDS 14,1.15978584623649
FRIENDS 16,1.22349737797277
FRIENDS 17,1.06303870545175
JHU 6,1.17271391512702
JHU 9,1.30735121540123
JHU 11,0.973904011618806
JHU 12,1.13074827950334
JHU 13,0.922877637143516
JHU 19,0.959821814772293
JHU 23,0.673741322469498
JHU 24,1.08738542494571
JHU 26,1.24837495539222
JHU 29,1.00908656612219
JHU 32,1.20747305992256
JHU 38,0.989052495221691
JHU 41,1.02572179473557
JHU 45,1.19786378412019
JHU 46,0.896360654783819
JHU 50,1.33381271533097
JHU 53,1.00636855332547
JHU 56,1.17749195105693
JHU 60,0.754776414994102
GILMAN 1,1.00779226834179
GILMAN 3,1.16597461389166
GILMAN 5,0.359798524299143
GILMAN 7,1.30493958046738
GILMAN 9,0.971119948593727
GILMAN 15,1.47290391113841
GILMAN 21,1.31413344841318
GILMAN 22,0.912809142312356
GILMAN 23,1.17267738022704
RPCS 1,0.809780364264927
RPCS 6,1.08434962289595
RPCS 9,0.24955495502504
RPCS 13,1.22322195660565
RPCS 17,1.13192656717424
RPCS 20,0.83422656394085
RPCS 23,0.950346012401481
AH 1,0.90552797966229
AH 4,0.918769671153414
AH 7,1.22003580484372
AH 8,1.09582473228898
AH 12,1.22849608884848
AH 14,0.851542622044628
ND 1,0.870820435915426
ND 4,1.49877395822363
ND 5,1.01349536999646
ND 7,1.10523002490026
ND 9,1.05284159915393
ND 12,1.38042830340266
ND 13,0.969619949988974
ND 14,0.885991126072542
ND 28,1.45660452075205
ND 30,1.24125943144512
ND 34,1.32671598305316
ND 37,1.27179022372829
ND 38,1.19704010393956
HR 1,1.33111409220221
HR 3,1.07157374122415
HR 5,1.11946031770314
HR 7,1.21203604422127
HR 10,1.21080804417647
HR 12,1.05802437193547
HR 15,1.29943791144306
HR 20,1.26235846272396
LOYOLA 4,1.0695212358216
LOYOLA 8,1.46428930723419
LOYOLA 10,0.580597242303155
LOYOLA 12,0.888211921558511
LOYOLA 16,0.781259797976351
LOYOLA 18,1.47390469116806
LOYOLA 22,0.709958382254911
LOYOLA 24,0.942197279176173
LOYOLA 26,0.784315572935842
LOYOLA 34,0.577541467343665
LOYOLA 36,1.12554377674559
LOYOLA 52,1.50833118575059
LOYOLA 56,1.15508293468733
LOYOLA 58,0.782278389629515
LOYOLA 60,0.969699253811586
