Plot Name/ Pt. #,Date,Species Name (1),Species Name (2),Species Name (3),Species Name (4),Species Name (5),Species Name (6),Species Name (7),Species Name (8),% Cover (Species 1),% Cover (Species 2),% Cover (Species 3),% Cover (Species 4),% Cover (Species 5),% Cover (Species 6),% Cover (Species 7),% Cover (Species 8),Invasive (Y/N) Species 1,Invasive (Y/N) Species 2,Invasive (Y/N) Species 3,Invasive (Y/N) Species 4,Invasive (Y/N) Species 5,Invasive (Y/N) Species 6,Invasive (Y/N) Species 7,Invasive (Y/N) Species 8,% Invasive Cover,# of Invasive Species
Knoll Pt. 1,06/27/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 2,06/27/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 3,06/27/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 4,06/27/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 5,06/27/18,Lonicera japonica,Parthenocissus quinquefolia,Hedera helix,Carya cordiformis,N/A,N/A,N/A,N/A,15,2,3,5,N/A,N/A,N/A,N/A,Y,N,Y,N,N/A,N/A,N/A,N/A,18,2
Knoll Pt. 6,06/27/18,Lonicera japonica,Parthenocissus quinquefolia,Hedera helix,Carya cordiformis,N/A,N/A,N/A,N/A,15,2,3,5,N/A,N/A,N/A,N/A,Y,N,Y,N,N/A,N/A,N/A,N/A,18,2
Knoll Pt. 7 ,06/27/18,Lonicera japonica,Carya cordiformis,Fraxinus americana,Alliaria petiolata,N/A,N/A,N/A,N/A,25,1,7,5,N/A,N/A,N/A,N/A,Y,N,N ,Y,N/A,N/A,N/A,N/A,30,2
Knoll Pt. 8,06/28/18,Trifolium repens,Turf,Moss,N/A,N/A,N/A,N/A,N/A,5,15,30,N/A,N/A,N/A,N/A,N/A,N ,N,N,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 9,06/28/18,Parthenocissus quinquefolia,Hedera helix,Lonicera japonica,N/A,N/A,N/A,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N,Y,Y,N/A,N/A,N/A,N/A,N/A,2,2
Knoll Pt. 10,06/28/18,Lonicera japonica,Hedera helix,N/A,N/A,N/A,N/A,N/A,N/A,40,10,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,50,2
Knoll Pt. 11,06/28/18,Lonicera japonica,Hedera helix,N/A,N/A,N/A,N/A,N/A,N/A,70,10,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,80,2
Knoll Pt. 12,06/29/18,Cornus florida,Lonicera japonica,Toxicodendron radicans ,Hedera helix,??,N/A,N/A,N/A,20,20,2,15,2,N/A,N/A,N/A,N,Y,N,Y,??,N/A,N/A,N/A,35,2
Knoll Pt. 13,06/29/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 14,06/29/18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 15,06/29/18,Lonicera japonica,Parthenocissus quinquefolia,N/A,N/A,N/A,N/A,N/A,N/A,25,1,N/A,N/A,N/A,N/A,N/A,N/A,Y,N,N/A,N/A,N/A,N/A,N/A,N/A,25,1
Knoll Pt. 16,06/29/18,Sassafras albidum,Lonicera japonica,Hedera helix,N/A,N/A,N/A,N/A,N/A,10,20,2,N/A,N/A,N/A,N/A,N/A,N,Y,Y,N/A,N/A,N/A,N/A,N/A,22,2
Knoll Pt. 17,07/03/18,Hedera helix,Rubus occidentalis,Lonicera japonica,Viburnum acerifolium,Malus spp,Fraxinus pennsylvanica,N/A,N/A,15,25,10,2,10,1,N/A,N/A,Y,N,Y,N,N ,N ,N/A,N/A,25,2
Knoll Pt. 18,07/03/18,Hedera helix,Parthenocissus quinquefolia,?? Unknown serrated,Viburnum acerifolium,N/A,N/A,N/A,N/A,70,15,5,1,N/A,N/A,N/A,N/A,Y,N,??,N,N/A,N/A,N/A,N/A,70,1
Knoll Pt. 19,07/03/18,Hedera helix,Parthenocissus quinquefolia,Viburnum acerifolium,Liriodendron tulipifera,Prunus avium,Amelanchier arborea,N/A,N/A,8,1,3,1,1,1,N/A,N/A,Y,N,N,N,Y,N,N/A,N/A,9,2
Knoll Pt. 20,07/03/18,Alliaria petiolata,Hedera helix,Fagus grandifolia,Lonicera japonica,Parthenocissus quinquefolia,Toxicodendron radicans,N/A,N/A,20,15,1,12,1,1,N/A,N/A,N,Y,N,Y,N,N,N/A,N/A,27,2
Knoll Pt. 21,07/03/18,Alliaria petiolata,Fragaria vesca,Polygonum perfoliata,Oxalis stricta,N/A,N/A,N/A,N/A,20,60,1,9,N/A,N/A,N/A,N/A,N,N,Y,N,N/A,N/A,N/A,N/A,1,1
Knoll Pt. 22,07/05/18,Perilla frutescens,Polygonum perfoliata,N/A,N/A,N/A,N/A,N/A,N/A,50,50,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,100,2
Knoll Pt. 23,07/05/18,Hedera helix,Parthenocissus quinquefolia,Lonicera japonica,Viburnum dentatum,Viburnum acerifolium,Fagus grandifolia,N/A,N/A,15,5,8,5,5,2,N/A,N/A,Y,N,Y,N,N,N,N/A,N/A,23,2
Knoll Pt. 24,07/06/18,Fagus grandifolia,Fraxinus pennsylvanica,Lonicera japonica,Viburnum acerifolium,Hedera helix,Alliaria petiolata,Parthenocissus quinquefolia,N/A,2,8,5,8,10,5,2,N/A,N,N,Y,N,Y,N,N,N/A,1,2
Knoll Pt. 25,07/05/18,Hedera helix,Polygonum perfoliata,Liriodendron tulipifera,Viburnum acerifolium,N/A,N/A,N/A,N/A,4,2,1,3,N/A,N/A,N/A,N/A,Y,Y,N,N,N/A,N/A,N/A,N/A,6,2
Knoll Pt. 26,07/05/18,Parthenocissus quinquefolia,Lonicera japonica,Hedera helix,N/A,N/A,N/A,N/A,N/A,5,15,10,N/A,N/A,N/A,N/A,N/A,N,Y,Y,N/A,N/A,N/A,N/A,N/A,25,2
Knoll Pt. 27,07/05/18,Vinca minor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1
Knoll Pt. 28,07/05/18,Viburnum acerifolium,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Knoll Pt. 29,06/29/18,Convallaria majalis,Cornus florida,Adenophora tracheliodes,N/A,N/A,N/A,N/A,N/A,2,2,21,N/A,N/A,N/A,N/A,N/A,Y,N,Y,N/A,N/A,N/A,N/A,N/A,23,2
