Plot Name/ Pt. #,Trees Name (1),Trees Name (2),"
Trees Name (3)","
Trees Name (4)","
Trees Name (5)","
Trees Name (6)","
Trees Name (7)",Trees Name (8),Trees Name (9),Trees Name (10),Trees Name (11),Trees Name (12),Trees Name (13),Trees Name (14),Trees Name (15),Trees Name (16),Tree Name (17),Tree Name (18),Tree Name (19),Tree 1 (Stem 1) Schumaker Scale,Tree 1 (Stem 2) Schumaker Scale,Tree 1 (Stem 3) Schumaker Scale,Tree 1 (Stem 4) Schumaker Scale,Tree 2 (Stem 1) Schumaker Scale,Tree 2 (Stem 2) Schumaker Scale,Tree 2 (Stem 3) Schumaker Scale,Tree 2 (Stem 4) Schumaker Scale,Tree 3 (Stem 1) Schumaker Scale,Tree 3 (Stem 2) Schumaker Scale,Tree 3 (Stem 3) Schumaker Scale,Tree 3 (Stem 4) Schumaker Scale,Tree 4 (Stem 1) Schumaker Scale,Tree 4 (Stem 2) Schumaker Scale,Tree 4 (Stem 3) Schumaker Scale,Tree 5 (Stem 1) Schumaker Scale,Tree 5 (Stem 2) Schumaker Scale,Tree 5 (Stem 3) Schumaker Scale,Tree 6 (Stem 1) Schumaker Scale,Tree 6 (Stem 2) Schumaker Scale,Tree 6 (Stem 3) Schumaker Scale,Tree 7 (Stem 1) Schumaker Scale,Tree 7 (Stem 2) Schumaker Scale,Tree 7 (Stem 3) Schumaker Scale,Tree 7 (Stem 4) Schumaker Scale,Tree 8 (Stem 1) Schumaker Scale,Tree 8 (Stem 2) Schumaker Scale,Tree 9 (Stem1) Schumaker Scale,Tree 9 (Stem 2) Schumaker Scale,Tree 9 (Stem 3) Schumaker Scale,Tree 10 (Stem 1) Schumaker Scale ,Tree 10 (Stem 2) Schumaker Scale,Tree 11 (Stem 1) Schumaker Scale ,Tree 11 (Stem 2) Schumaker Scale ,Tree 12 (Stem 1) Schumaker Scale,Tree 12 (Stem 2) Schumaker Scale,Tree 13 (Stem 1) Schumaker Scale ,Tree 14 (Stem 1) Schumaker Scale,Tree 15 (Stem 1) Schumaker Scale,Tree 16 (Stem 1) Schumaker Scale,Tree 17 (Stem 1) Schumaker Scale,Tree 18 (Stem 1) Schumaker Scale,Tree 19 (Stem 1) Schumaker Scale
Knoll Pt. 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 5,LITU,PRSE,QURU,PRSE,PRSE,MORU,PRSE,MORU,PRSE,ROPS,CAGL,PATO,PATO,FRAM,ACRU,LITU,FRPE,FRAM,FRAM,0,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,2,N/A,N/A,0,N/A,N/A,N/A,1,N/A,1,N/A,N/A,2,N/A,3,N/A,1,1,1,1,1,0,1,1,1
Knoll Pt. 6,ACRU,FRAM,PATO,PATO,MORU,CAGL,PATO,SAAL,SAAL,QURU,FAGR,QUAL,CACO,LITU,ROPS,CATO,N/A,N/A,N/A,2,2,1,2,1,N/A,N/A,N/A,2,N/A,N/A,N/A,1,N/A,N/A,2,N/A,N/A,2,2,N/A,1,N/A,N/A,N/A,1,N/A,1,N/A,N/A,1,N/A,1,N/A,1,N/A,1,1,1,0,N/A,N/A,N/A
Knoll Pt. 7 ,CATO,PRAV,QURU,CAGL,QURU,FAGR,FRPE,QUPH,QUPH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,0,N/A,N/A,1,N/A,N/A,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 8,QURU,QUCO,QUCO,QUPH,QUPH,QUPH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 9,CATO,ZDEAD,QURU,QURU,QUCO,QUPH,QUCO,QUCO,QURU,QUCO,QURU,QUCO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,1,N/A,N/A,N/A,0,N/A,1,N/A,N/A,0,N/A,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Knoll Pt. 10,QUAL,CAGL,QURU,QUCO,QUCO,FRPE,FAGR,PRSE,NYSY,QURU,QUCO,QURU,QUCO,QUAL,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,0,N/A,N/A,N/A,1,N/A,N/A,0,N/A,N/A,1,N/A,N/A,0,N/A,N/A,N/A,2,N/A,1,N/A,N/A,1,N/A,0,N/A,1,N/A,1,0,N/A,N/A,N/A,N/A,N/A
