ID,Patch Number,Point Code,Soil Taken,Bulk Density Taken,Depth of O Layer (Punch)(mm),%Ground Cover,% Bare Ground,Depth of A Layer (Punch) (mm),Additonal Notes,% Impervious Surface,Date Sampled,Field Techs
1,1,SGDW 2,1,1,5,8,0,175,Soil punch length was only 18 cm. Length of different soil layers in the soil punch was not taken. There was  a fence on one side of the plot. Data was collected in the rain.,9999999,15/6/2016,"Alyssa, Laura, Josh"
2,1,SGDW 1,1,1,0,75,0,195,Soil punch length was only 19.5 cm. Missing a penetrometer reading. Length of the different layers in the soil punch was not taken. Area very covered in vines and Poison Ivy. Many of the trees look unhealthy.,9999999,15/6/2016,"Alyssa, Laura, Josh"
3,1,SGDW 5,1,1,2,60,0,198,Soil is extremely rocky. Iron oxidation present in Layer 3 and pebbles present in Layer 2 of the soil punch.,9999999,16/6/2016,"Alyssa, Laura, Josh"
4,1,SGDW 7,1,1,2,30,0,198,Many White Oak and Ash seedlings present. Fair amouunt of coarse woody debris at the point. Invasive species in the plot seem to be closest to the street.,9999999,16/6/2016,"Alyssa, Laura, Josh"
5,1,SGDW 6,1,1,6,50,0,194,Oak Seedlings,9999999,16/6/2016,"Alyssa, Laura, Josh"
6,1,SGDW 4,1,1,0,40,0,160,Soil punch length was only 16 cm.,9999999,16/6/2016,"Alyssa, Laura, Josh"
7,1,SGDW 3,1,1,0,25,0,200,Soil is poor/weathered. Hickory and Oak seedlings.,9999999,16/6/2016,"Alyssa, Laura, Josh"
8,1,SGDW 8,1,1,26,2,0,174,Soil is poor/weathered. The PRSE shoots (from a nearby tree) in the quadrat were not counted in the ground cover. Large exposed rock in the quadrat. Quadrat on a slight slope. Dense sapling layer. Jack in the pulpit.,9999999,16/6/2016,"Alyssa, Laura, Josh"
9,1,SGDW 9,1,1,0,30,0,200,Jack in the pulpit. Deer scat in plot and very rocky soil.  Oxidation in the 2nd layer of the soil punch.,9999999,16/6/2016,"Alyssa, Laura, Josh"
10,1,SGDW 10,1,1,0,70,5,210,,9999999,20/6/2016,"Alyssa, Laura"
11,1,SGDW 11,1,1,0,30,10,195,All of the ground cover except the ivy and spicebush have been eaten- heavy deer activity. Close to a buidling - proximity my account for some of the homogenous color of the soil.,9999999,20/6/2016,"Alyssa, Laura"
12,1,SGDW 12,1,1,0,20,5,110,Soil punch was only 11cm (kept hitting rock). Bulk density taken but slightly less than ideal as mechanism for pulling the soil sample broke while being used to pull the sample.,9999999,20/6/2016,"Alyssa, Laura"
13,3,JH 1,1,1,0,5,30,190,Broken glass in the area.,9999999,22/6/2016,"Alyssa, Laura, Josh"
14,3,JH 3,1,1,0,70,30,200,,9999999,22/6/2016,"Alyssa, Laura, Josh"
15,3,JH 4,1,1,0,95,0,130,Soil is very gritty and mica is mixed throughout. Soil punch was only 13 cm deep. Soil is mottle in color (7.5 YR 4/6 mixed in with what we listed). Rust color mixed in to the soil.,9999999,21/6/2016,"Alyssa, Laura, Josh"
16,3,JH 5,1,1,0,95,0,200,Penetrometer readings done at a later date than those of the rest of the site.,9999999,22/6/2016,"Alyssa, Laura, Josh"
17,3,JH 6,1,1,0,60,20,200,,9999999,22/6/2016,"Alyssa, Laura, Josh"
18,3,JH 7,1,1,0,70,0,200,,9999999,22/6/2016,"Alyssa, Laura, Josh"
19,3,JH 8,1,1,0,100,0,185,,9999999,22/6/2016,"Alyssa, Laura, Josh"
20,3,JH 9,1,1,0,90,10,185,Lower layer of soil is very pebbly.,9999999,22/6/2016,"Alyssa, Laura, Josh"
21,3,JH 10,1,1,0,75,15,170,,9999999,22/6/2016,"Alyssa, Laura, Josh"
22,3,JH 11,1,1,0,25,50,200,Patches of oxidized iron in the soil.,9999999,22/6/2016,"Alyssa, Laura, Josh"
23,3,JH 12,1,1,0,100,0,950,Coal found in the soil.,9999999,22/6/2016,"Alyssa, Laura, Josh"
24,3,JH 13,1,1,0,60,5,150,,9999999,22/6/2016,"Alyssa, Laura, Josh"
25,3,JH 14,1,1,0,80,5,150,,9999999,22/6/2016,"Alyssa, Laura, Josh"
26,3,JH 15,1,1,0,100,0,200,Small Red Mulberry found outside of the plot.,9999999,22/6/2016,"Alyssa, Laura, Josh"
27,4,W 1,0,0,9999999,60,15,9999999,,9999999,29/6/2016,"Alyssa, Laura, Josh"
28,4,W 2,0,0,9999999,75,0,9999999,,9999999,29/6/2019,"Alyssa, Laura, Josh"
29,4,W 3,0,0,9999999,75,5,9999999,,9999999,29/6/2016,"Alyssa, Laura, Josh"
30,4,W 4,0,0,9999999,75,10,9999999,,9999999,29/6/2019,"Alyssa, Laura, Josh"
31,5,HEPP 1,1,1,25,0,0,135,Not enough soil in the lower layer to determine the texture (mostly rocks and pebbles). Looks like a lot of lawn debris was dumped in this area.,9999999,30/6/2016,"Alyssa, Laura"
32,5,HEPP 2,1,1,15,0,0,185,Area seems to cleared of herb/shrub layer.,9999999,30/6/2016,"Alyssa, Laura"
33,5,HEPP 3,1,1,35,2,0,0,Dumping in quadrat covers half of the plot under the leaf litter. A lot of gravel. O included in bulk density sample due to the large amount of gravel and lack of an accessible A layer. Large area of concrete dumping near by.,9999999,30/6/2016,"Alyssa, Laura, Josh"
34,5,HEPP 4,1,1,0,25,0,130,Soil very  pebbly.,9999999,30/6/2016,"Alyssa, Laura, Josh"
35,5,HEPP 5,1,1,5,30,0,195,Many small Hickory trees at this site.,9999999,30/6/2016,"Alyssa, Laura, Josh"
36,5,HEPP 6,1,1,0,1,0,200,,9999999,30/6/2016,"Alyssa, Laura, Josh"
37,5,HEPP 7,1,1,35,40,0,165,Black Oak Saplings.,9999999,30/6/2016,"Alyssa, Laura, Josh"
38,5,HEPP 8,1,1,10,1,0,190,Many Nyssa sylvatica saplings present at the site. Groundcover is actually less than 1 percent.,9999999,30/6/2016,"Alyssa, Laura, Josh"
39,5,HEPP 9,1,1,55,75,0,145,,9999999,30/6/2016,"Alyssa, Laura, Josh"
40,5,HEPP 10,1,1,0,65,0,200,,9999999,30/6/2016,"Alyssa, Laura, Josh"
41,5,HEPP 11,1,1,10,50,0,190,,9999999,30/6/2016,"Alyssa, Laura, Josh"
42,5,HEPP 12,1,1,20,26,0,180,,9999999,30/6/2016,"Alyssa, Laura, Josh"
43,5,HEPP 13,1,1,30,1,0,170,,9999999,30/6/2016,"Alyssa, Laura, Josh"
44,6,G 1,0,0,9999999,75,10,9999999,,9999999,29/6/2016,"Alyssa, Laura, Josh"
45,6,G 2,0,0,9999999,60,0,9999999,,9999999,29/6/2016,"Alyssa, Laura, Josh"
46,6,G 3,0,0,9999999,50,30,9999999,,9999999,29/6/2016,"Alyssa, Laura, Josh"
47,7,NMN 1,1,1,0,100,0,140,,9999999,1/7/2016,"Alyssa, Laura"
48,7,NMN 2,1,1,0,90,0,180,A lot of wood dumping at the point. Texture on the second layer in the soil punch was not tested as the soil was too pebbly/ could not get enough of the soil to conduct the test.,9999999,1/7/2016,"Alyssa, Laura"
49,7,NMN 3,1,1,0,100,0,105,Gravel layer underneath the A layer - soil punch was not 20 cm. Point was at the tip of the triangle. Most herbaceous cover. Fair amount of lawn dumping present at the point.,9999999,1/7/2016,"Alyssa, Laura"
50,8,SW 4,1,1,200,85,0,0,Topography is mounded - may have been a dumping pile at one point. Many twiggs and roots- fine root structure throughout the soil punch.,9999999,28/6/2016,"Alyssa, Laura, Josh"
51,8,SW 5,1,1,0,100,0,200,Point seems to be in a dried stream bed.,9999999,28/6/2016,"Alyssa, Laura, Josh"
52,8,SW 6,1,1,0,80,0,95,,9999999,24/6/2016,"Alyssa, Laura, Josh"
53,8,SW 8,1,1,40,65,0,160,Quadrat is in a pit.,9999999,28/6/2016,"Alyssa, Laura, Josh"
54,8,SW 9,1,1,65,50,0,55,Plot is on the side of the a hill.,9999999,28/6/2016,"Alyssa, Laura, Josh"
55,8,SW 10,1,1,7,5,0,193,Site is in the upland section.,9999999,24/6/2016,"Alyssa, Laura, Josh"
56,8,SW 11,1,0,20,90,0,0,Possibly on a dumping ground. Large O layer- probably decomposing plant matter from the dumping pile- over cement.,9999999,28/6/2016,"Alyssa, Laura, Josh"
57,8,SW 12,1,1,5,85,0,175,Bottom soil layer is very pebbly.,9999999,24/6/2016,"Alyssa, Laura, Josh"
58,8,SW 13,1,1,2,95,0,168,,9999999,24/6/2016,"Alyssa, Laura, Josh"
59,8,SW 14,1,1,0,70,5,200,Point next to a stream. Dead trees are completely covered by grape. Japanese Knotweed.,9999999,24/6/2016,"Alyssa, Laura, Josh"
60,9,FF 1,1,1,0,30,0,200,,9999999,7/7/2016,"Alyssa, Laura, Josh"
61,9,FF 2,1,1,20,40,1,180,,9999999,7/7/2016,"Alyssa, Laura, Josh"
62,9,FF 3,1,1,0,60,40,200,Plot located on a steep slope. Soil is pebbly.,9999999,7/7/2016,"Alyssa, Laura, Josh"
63,9,FF 4,1,1,0,30,0,200,White chunks were found in the soil.,9999999,7/7/2016,"Alyssa, Laura, Josh"
64,9,FF 5,1,1,0,85,0,140,Texture not determined- glass in the soil.,9999999,7/7/2016,"Alyssa, Laura, Josh"
65,9,FF 6,1,1,0,90,0,200,,9999999,7/7/2016,"Alyssa, Laura, Josh"
66,9,FF 7,0,0,9999999,75,0,9999999,No soil was taken- concrete.,9999999,7/7/2016,"Alyssa, Laura, Josh"
67,9,FF 9,1,1,0,65,0,180,Open understory. Many planted azelias.,9999999,7/7/2016,"Alyssa, Laura, Josh"
68,9,FF 11,1,1,0,50,0,200,,9999999,7/7/2016,"Alyssa, Laura, Josh"
69,9,FF 12,1,1,0,70,0,200,,9999999,7/7/2016,"Alyssa, Laura, Josh"
70,9,FF 13,1,1,0,40,20,200,Plot very close to the road and near a large amount of leaf litter.,9999999,7/7/2016,"Alyssa, Laura, Josh"
71,9,FF 14,1,1,5,70,0,195,Glass found in the soil. High butterfly activity at this point. A fair amount of dumping at this point.,9999999,7/7/2016,"Alyssa, Laura, Josh"
72,10,BEL 1,1,1,0,90,0,165,A fair amount of lawn clippings dumped. Not much understory. Mostly vines and dead canopy.,9999999,12/7/2016,"Alyssa, Laura"
73,10,BEL 2,1,1,0,25,0,200,Soil feels very compacted. Quadrat is on a slope.,9999999,12/7/2016,"Alyssa, Laura"
74,11,WG 2,1,1,0,80,2,200,Saw a fox.,9999999,11/7/2016,"Alyssa, Laura, Josh"
