ID,Point Code,Stem,Species Code,Schumaker,Schumaker (A)
533,AH 1,1,ULRU,3,0
534,AH 1,2,FRPE,4,0
535,AH 1,3,Dead,5,0
536,AH 1,4,CAGL8,1,0
537,AH 1,5,CAGL8,2,0
538,AH 1,6,CAGL8,2,0
539,AH 1,7,PRSE2,4,0
540,AH 1,8,QURU,2,0
541,AH 1,9,LITU,0,0
542,AH 1,10,LITU,0,0
543,AH 1,11,JUNI,5,0
544,AH 1,12,NYSY,0,0
545,AH 1,13,FAGR,0,0
546,AH 10,1,ACRU,0,0
547,AH 10,2,ACRU,0,0
548,AH 10,3,VIPR,0,0
549,AH 10,4,QUPA2,0,0
550,AH 10,5,QUPA2,0,0
551,AH 10,6,QUPA2,0,0
552,AH 10,7,LITU,0,0
553,AH 10,8,LITU,3,0
554,AH 10,9,LITU,4,0
555,AH 10,10,LITU,4,0
556,AH 10,11,ROPS,3,0
557,AH 10,12,FRPE,3,0
558,AH 10,13,PRSE2,0,0
559,AH 11,1,ROPS,3,0
560,AH 11,2,ROPS,4,0
561,AH 11,3,ROPS,4,0
562,AH 11,4,ROPS,4,0
563,AH 11,5,FRPE,0,0
564,AH 11,6,FRPE,4,0
565,AH 11,7,ACSA2,3,0
566,AH 11,8,ACSA2,5,0
567,AH 11,9,ULRU,4,0
568,AH 11,10,ULRU,4,0
569,AH 11,11,ULRU,4,0
570,AH 11,12,Dead,3,0
571,AH 12,1,FRPE,0,0
572,AH 12,2,FRPE,4,0
573,AH 12,3,FRPE,4,0
574,AH 12,4,FRPE,5,0
575,AH 12,5,FRPE,5,0
576,AH 12,6,FRPE,5,0
577,AH 12,7,PLOC,0,0
578,AH 12,8,Dead,5,0
579,AH 12,9,ULRU,4,0
580,AH 12,10,ULRU,4,0
581,AH 12,11,ULRU,4,0
582,AH 12,12,ULRU,5,0
583,AH 12,13,AIAL,4,0
584,AH 13,1,ULRU,2,0
585,AH 13,2,ULRU,2,0
586,AH 13,3,ULRU,3,0
587,AH 13,4,ULRU,5,0
588,AH 13,5,ULRU,5,0
589,AH 13,6,ROPS,3,0
590,AH 13,7,ROPS,4,0
591,AH 13,8,ROPS,5,0
592,AH 13,9,ACRU,4,0
593,AH 13,10,ACRU,4,0
594,AH 13,11,FRPE,3,0
595,AH 13,12,Dead,5,0
596,AH 13,13,LITU,4,0
597,AH 13,14,AIAL,3,0
598,AH 14,1,ACRU,3,0
599,AH 14,2,ACRU,4,0
600,AH 14,3,QUPA2,4,0
601,AH 14,4,Dead,5,0
602,AH 14,5,PLOC,4,0
603,AH 14,6,ROPS,5,0
604,AH 15,1,AIAL,0,0
605,AH 15,2,AIAL,0,0
