FID,Parcel_cla,site,pointnum,Latitude,Longitude,mspa,landform,formcode,patchid,groveid,ROCKAGE,ROCKTYPE1,ROCKTYPE2,DistEdge,Aspect,MUSYM,SoilArea,DEM10,CanopyHt,Schumaker_Avg,Penetrometer
1,Institution,Knoll,1,39.251796,-76.711096,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,0,95.590271, ,0,49.357315,,0,0
2,Institution,Knoll,2,39.251802,-76.710844,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,0,139.814377, ,0,47.75338,,0,0
3,Institution,Knoll,3,39.25179,-76.710625,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,5.656854,328.210541, ,0,47.128899,,0,0
4,Institution,Knoll,4,39.251959,-76.711098,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,4,112.092552, ,0,49.268707,,0,0
5,Institution,Knoll,5,39.251963,-76.710866,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,42.755116,174.093063, ,0,48.375885,,1,120
6,Institution,Knoll,6,39.251965,-76.710622,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,30.594116,160.798981, ,0,49.158092,,1.368421053,223
7,Institution,Knoll,7,39.251963,-76.710377,0,spur,5,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,0,174.61171, ,0,48.156876,,0.625,185
8,Institution,Knoll,8,39.251984,-76.710127,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,10,144.11972, ,0,48.409538,,0.6,166
9,Institution,Knoll,9,39.252143,-76.710129,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,4.472136,147.498825, ,0,50.394695,,0.818181818,219
10,Institution,Knoll,10,39.252146,-76.710373,0,spur,5,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,41.036568,148.691818, ,0,50.931004,,0.769230769,180
11,Institution,Knoll,11,39.252146,-76.710621,0,spur,5,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,76.367531,160.411484, ,0,52.17778,,0.8125,193
12,Institution,Knoll,12,39.252144,-76.71086,0,spur,5,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,68.117546,167.233887, ,0,51.249725,,0.941176471,225
13,Institution,Knoll,13,39.252146,-76.711091,0,spur,5,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,56.320511,174.165207, ,0,51.558548,,0,0
14,Institution,Knoll,14,39.252141,-76.711339,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,2,149.171066, ,0,51.728104,,0,0
15,Institution,Knoll,15,39.252311,-76.711336,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,41.036568,194.515396, ,0,53.587345,,0.428571429,183
16,Institution,Knoll,16,39.252316,-76.711105,0,spur,5,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,92.800865,173.586487, ,0,55.540421,,0.777777778,120
17,Institution,Knoll,17,39.252318,-76.710865,0,spur,5,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,124.064499,167.388626, ,0,55.197865,,1.375,105
18,Institution,Knoll,18,39.252316,-76.710621,0,ridge,3,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,125.538841,154.554688, ,0,55.412247,,1.461538462,254
19,Institution,Knoll,19,39.25232,-76.710386,0,ridge,3,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,70.710678,106.986176, ,0,53.089432,,1,260
20,Institution,Knoll,20,39.252321,-76.710133,0,ridge,3,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,18.110771,90.287888, ,0,50.434528,,0.916666667,245
21,Institution,Knoll,21,39.25232,-76.709889,0,spur,5,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,0,68.013504, ,0,48.98114,,0.571428571,194
22,Institution,Knoll,22,39.252494,-76.709665,0,valley,9,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,0,45.180283, ,0,47.205845,,1.666666667,254
23,Institution,Knoll,23,39.252496,-76.709892,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,10,55.419067, ,0,47.897354,,1.777777778,348
24,Institution,Knoll,24,39.252482,-76.710131,0,spur,5,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,58.137768,65.672478, ,0,50.198853,,1,240
25,Institution,Knoll,25,39.252491,-76.710372,0,spur,5,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,107.200745,68.479736, ,0,52.324406,,0.933333333,215
26,Institution,Knoll,26,39.252488,-76.71062,0,ridge,3,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,159.862442,92.336357, ,0,56.635864,,0.75,95
27,Institution,Knoll,27,39.252489,-76.710856,0,ridge,3,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,183.847763,135.983902, ,0,57.383625,,0.181818182,290
28,Institution,Knoll,28,39.25249,-76.711096,0,ridge,3,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,134.417267,155.506454, ,0,57.930153,,0.3,254
29,Institution,Knoll,29,39.25249,-76.711336,0,ridge,3,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,91.607857,197.795975, ,0,56.084438,,0.583333333,200
30,Institution,Knoll,30,39.252494,-76.711578,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,62,206.314987, ,0,53.662872,,0,0
31,Institution,Knoll,31,39.252488,-76.711808,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,0,106.255821, ,0,54.253513,0,0,0
32,Institution,Knoll,32,39.252652,-76.711799,0,slope,6,,,Late Precambrian (?) - Early Paleozoic,gabbro,norite,0,185.97966, ,0,54.933372,0,0,0
