Point Code,Latitude,Longitude
BARPRK 1,39.33018844,-76.54918955
BARPRK 12,39.3312119,-79.54936572
BARPRK 13,39.33096234,-76.54863837
BARPRK 14,39.33156866,-76.54849732
BARPRK 16,39.33092371,-76.54749081
BARPRK 17,39.33141571,-76.57896793
BARPRK 18,39.33176475,-76.54207988
BARPRK 2,39.33037293,-76.54873869
BARPRK 3,39.33055811,-76.54834434
BARPRK 4,39.33073934,-76.54790107
BARPRK 5,39.33077757,-76.54904743
BARPRK 6,39.33058841,-76.54947944
BARPRK 7,39.33040736,-76.5499029
BARPRK 8,39.33000742,-76.54961292
BARPRK 9,39.32982108,-76.5500197
CAROLL 1,39.28636592,-76.66764291
CAROLL 10,39.28692294,-76.6676423
CAROLL 11,39.28690921,-76.66715905
CAROLL 12,39.28691833,-76.66667394
CAROLL 13,39.28691831,-76.66619257
CAROLL 15,39.2871994100000,-76.6681263600000
CAROLL 16,39.28719939,-76.66764309
CAROLL 17,39.28720418,-76.6671604
CAROLL 18,39.28719936,-76.66667657
CAROLL 19,39.28719934,-76.66619829
CAROLL 22,39.28747449,-76.66813108
CAROLL 23,39.2874694400000,-76.6676407500000
CAROLL 24,39.2874744500000,-76.6671622100000
CAROLL 25,39.28747443,-76.66687778
CAROLL 29,39.28775227,-76.66812355
CAROLL 30,39.28774699,-76.66764271
CAROLL 36,39.28802673,-76.66812856
CAROLL 4,39.28663747,-76.66764262
CAROLL 42,39.2883023,-76.66861145
CAROLL 43,39.2883137800000,-76.6681283400000
CAROLL 49,39.28858423,-76.66861303
CAROLL 5,39.2866418,-76.66716415
CAROLL 2,39.28636177,-76.66716111
CAROLL 20,39.25719452,-76.66572008
CAROLL 6,39.28663743,-76.66667985
CLIFTON 1,39.32214725,-76.58413096
CLIFTON 10,39.32213275,-76.58367547
CLIFTON 11,39.32248063,-76.58364926
CLIFTON 18,39.32210876,-76.58320374
CLIFTON 19,39.32243917,-76.58270466
CLIFTON 20,39.32209928,-76.58273511
CLIFTON 3,39.32249484,-76.58411429
CLIFTON 4,39.32251993,-76.58460894
CLIFTON 12,39.32284129,-76.58361922
CLIFTON 14,39.32355605,-76.58355602
CLIFTON 17,39.32246659,-76.58318655
CLIFTON 22,39.32353403,-76.58310275
CLIFTON 23,39.32323545,-76.58406063
CLIFTON 6,39.32288328,-76.58758839
CLIFTON 9,39.32285474,-76.58408675
FENDAL 18,39.32609429,-76.70773694
FENDAL 10,39.32536696,-76.70825064
FENDAL 102,39.32459944,-76.70154575
FENDAL 103,39.32424082,-76.70153168
FENDAL 104,39.3238675500000,-76.7015482700000
FENDAL 105,39.32350008,-76.70154556
FENDAL 109,39.32313385,-76.70104136
FENDAL 110,39.32350112,-76.7010457
FENDAL 111,39.32386046,-76.70105843
FENDAL 112,39.32423720,-76.70105336
FENDAL 116,39.3234928600000,-76.7005775000000
FENDAL 14,39.32461524,-76.70777796
FENDAL 16,39.32535908,-76.70776949
FENDAL 21,39.32536123,-76.70728649
FENDAL 33,39.3253615073740,-76.7063189394410
FENDAL 38,39.3242350457020,-76.70584106617410
FENDAL 39,39.3246147014216,-76.7058486801989
FENDAL 40,39. 3249796206542,-76.7058492016125
FENDAL 45,39.3253517315076,-76.7053772114562
FENDAL 46,39.3249762358399,-76.7053810613808
FENDAL 47,39.3246111111111,-76.7053694444444
FENDAL 48,39.3242351453705,-76.7053692790933
FENDAL 49,39.3238581195777,-76.7053550901987
FENDAL 5,39.32497647,-76.70873449
FENDAL 55,39.3249731943418,-76.7049230380439
FENDAL 56,39.3253526345543,-76.7049344588795
FENDAL 59,39.32536921,-76.70438378
FENDAL 60,39.32498879,-76.70438566
FENDAL 62,39.32422971,-76.70439551
FENDAL 63,39.32387088,-76.70439528
FENDAL 67,39.32388432,-76.70391420
FENDAL 68,39.32424335,-76.70392065
FENDAL 69,39.3246032000000,-76.7039122900000
FENDAL 7,39.32572386,-76.70872718
FENDAL 70,39.32499066,-76.70391073
FENDAL 74,39.3250063,-76.70342883
FENDAL 75,39.32462504,-76.70343652
FENDAL 76,39.32426277,-76.70343464
FENDAL 78,39.32350162,-76.70344065
FENDAL 8,39.32609183,-76.70825078
FENDAL 81,39.32349484,-76.70295962
FENDAL 82,39.3238614000000,-76.7029603000000
FENDAL 83,39.32423053,-76.70296591
FENDAL 84,39.32460126,-76.70296718
FENDAL 89,39.32422932,-76.70249487
FENDAL 9,39.32572462,-76.70825062
FENDAL 90,39.32385482,-76.70247487
FENDAL 91,39.32349503,-76.7024860900000
FENDAL 96,39.32350111,-76.70200225
FENDAL 97,39.3238598100000,-76.7020112700000
FENDAL 98,39.32423850,-76.70201546
FENDAL 99,39.32460907,-76.70201817
FENDAL 106,39.32312908,-76.70152796
FENDAL 17,39.32572111,-76.70776361
FENDAL 2,39.32498201,-76.70920253
FENDAL 20,39.32572857,-76.70728553
FENDAL 27,39.32498822,-76.70680452
FENDAL 28,39.32535764,-76.70679994
FENDAL 41,39.3253564843931,-76.7058490299281
FENDAL 42,39.3257190389124,-76.7058499807042
FENDAL 53,39.3242279715314,-76.7049114771451
FENDAL 54,39.3246133104968,-76.70491284325
FENDAL 56,39.3252526345543,-76.7049344588795
FENDAL 6,39.32535874,-76.70873176
FENDAL 61,39.32462113,-76.70439561
FENDAL 77,39.32388547,-76.70343807
FENDAL 85,39.32498741,-76.70296765
FENDAL 88,39.32460707,-76.70249203
FENDAL 95,39.32312287,-76.70199735
HERUN 2 9,39.32815432,-76.5709313
HERUN2 1,39.32849432,-76.57090675
HERUN2 10,39.32880547,-76.56987204
HERUN2 11,39.32913889,-76.56984785
HERUN2 14,39.32990066,-76.57134749
HERUN2 15,39.32953779,-76.57137002
HERUN2 16,39.32919196,-76.57139557
HERUN2 17,39.32992595,-76.57188617
HERUN2 18,39.32954006,-76.57192427
HERUN2 19,39.32922019,-76.57193372
HERUN2 2,39.32883628,-76.57088689
HERUN2 20,39.32887528,-76.57194931
HERUN2 21,39.32851921,-76.57142766
HERUN2 22,39.3299468000000,-76.5724123300000
HERUN2 23,39.32957587,-76.57244229
HERUN2 24,39.32922933,-76.57245099
HERUN2 25,39.3288884,-76.57247
HERUN2 26,39.32855293,-76.57248437
HERUN2 27,39.3295745000000,-76.5730065000000
HERUN2 28,39.32924688,-76.57300112
HERUN2 29,39.32890227,-76.57301521
HERUN2 3,39.3291674,-76.57086731
HERUN2 30,39.32856745,-76.57303599
HERUN2 32,39.32961445,-76.57349918
HERUN2 33,39.32926869,-76.57351552
HERUN2 34,39.32893327,-76.57353866
HERUN2 35,39.32858881,-76.57353849
HERUN2 36,39.32861463,-76.57406328
HERUN2 37,39.32895916,-76.57405064
HERUN2 38,39.32928839,-76.57402833
HERUN2 39,39.329654,-76.57451886
HERUN2 4,39.3295287600000,-76.5708464500000
HERUN2 40,39.32966851,-76.57508409
HERUN2 41,39.3293169000000,-76.5751001187000
HERUN2 42,39.32929494,-76.57454819
HERUN2 43,39.32895658,-76.57456874
HERUN2 44,39.32861318,-76.57458661
HERUN2 45,39.3296851500000,-76.5756057600000
HERUN2 46,39.3293389500000,-76.5756134200000
HERUN2 48,39.3289709,-76.57511749
HERUN2 5,39.3288087,-76.57038409
HERUN2 52 ,39.32779408,-76.57045543
HERUN2 53,39.32780971,-76.5709451
HERUN2 54,39.32781979,-76.57145818
HERUN2 55,39.32747763,-76.57148451
HERUN2 57 ,39.32751009,-76.57203347
HERUN2 58,39.32785978,-76.57202097
HERUN2 59 ,39.32711837,-76.57150334
HERUN2 6,39.32846931,-76.57038774
HERUN2 60,39.32710489,-76.57099267
HERUN2 65,39.32817988,-76.57198973
HERUN2 66,39.32846778,-76.56989589
HERUN2 67,39.32884926,-76.57140896
HERUN2 68,39.33026187,-76.5718817
HERUN2 69,39.32963731,-76.57400338
HERUN2 7,39.32813483,-76.57042029
HERUN2 8,39.32915855,-76.57034855
HERUN3 35,39.3099303000000,-76.5499366500000
HERUN3 36,39.3099511000000,-76.5494999800000
HERUN3 44,39.3095766000000,-76.54990087
HERUN3 45,39.3096225280000,-76.5494519200000
HERUN3 45,39.3092623600000,-76.5498416100000
HERUN3 46,39.3089254600000,-76.5497997500000
HERUN3 55,39.3092936000000,-76.5494139000000
HERUN3 66,39.3089527400000,-79.5493702400000
HERUN3 68,39.3085877100000,-76.5497485700000
HERUN3 72,39.3082939300000,-76.5492793700000
HERUN3 73,39.3083304000000,-76.5488534900000
HERUN3 74,39.3079886700000,-76.5488128500000
HERUN3 77,39.3076596500000,-76.5487620300000
HERUN3 97,39.3076901100000,-76.5483324300000
HOLBRD1 1,39.26537825,-76.53408681
HOLBRD1 10,39.26357107,-76.53268085
HOLBRD1 11,39.26391194,-76.53268029
HOLBRD1 2,39.26501847,-76.53409988
HOLBRD1 3,39.26465677,-76.53409985
HOLBRD1 4,39.26465211,-76.53362786
HOLBRD1 7,39.26427727,-76.53315491
HOLBRD2 12,39.26574386,-76.53127622
HOLBRD2 13,39.26574148,-76.53078988
HOLBRD2 17,39.26537503,-76.53032835
MORPAR 13,39.2644394000000,-76.6474590000000
MORPAR 14,39.2641830000000,-76.6478080000000
MORPAR 16,39.2636469,-76.648503
MORPAR 23,39.2617796,-76.650951
MORPAR 24,39.2615142,-76.651303
MORPAR 27,39.2641667000000,-76.6471130000000
MORPAR 28,39.2639046000000,-76.6474570000000
MORPAR 29,39.2636341,-76.647811
MORPAR 30,39.2633752000000,-76.6481590000000
MORPAR 31,39.2631025000000,-76.6485180000000
MORPAR 32,39.2628401000000,-76.6488560000000
MORPAR 35,39.2620420,-76.649908
MORPAR 36,39.2617683,-76.650257
MORPAR 37,39.2615063,-76.650611
MORPAR 38,39.2612408,-76.650959
MORPAR 49,39.2617747,-76.649571
MORPAR 50,39.2615081,-76.649917
MORPAR 52,39.2609708,-76.650616
MORPAR 67,39.2617919000000,-76.6564600000000
MORPAR 68,39.2639116000000,-76.5481630000000
MORPAR 69,39.2639116000000,-76.6481630000000
PATTER 1,39.28858496,-76.58028866
PATTER 2,39.28858344,-76.58121661
PATTER 3,39.28858734,-76.58166302
PATTER 4,39.28893938,-76.5812095
PATTER 5,39.28893843,-76.58075749
SHORTL 12,39.27567575,-76.68414289
SHORTL 13,39.27567575,-76.68366187
SHORTL 14,39.27567574,-76.68318615
SHORTL 17,39.27605316,-76.68413884
SHORTL 18,39.27604799,-76.68366016
SHORTL 19,39.27605316,-76.68318276
SHORTL 2,39.27493052,-76.68509646
SHORTL 23,39.27642479,-76.68414155
SHORTL 24,39.27642478,-76.68366197
SHORTL 25,39.27641933,-76.68318192
SHORTL 26,39.27641933,-76.68270809
SHORTL 27,39.27641933,-76.68223427
SHORTL 28,39.27642477,-76.68174923
SHORTL 33,39.27678797,-76.6831853
SHORTL 6,39.27530423,-76.68413926
SHORTL 7,39.2752996,-76.68366562
SWAPRK 10,39.23423501,-76.62292479
SWAPRK 12,39.23388437,-76.62535737
SWAPRK 13,39.23388677,-76.6248719
SWAPRK 14,39.23388172,-76.62438278
SWAPRK 15,39.2338811,-76.62390278
SWAPRK 16,39.23388167,-76.62341344
SWAPRK 17,39.23388249,-76.62291591
SWAPRK 18,39.23388248,-76.62242976
SWAPRK 21,39.23353906,-76.62535552
SWAPRK 22,39.23353546,-76.62487207
SWAPRK 23,39.23353782,-76.6243816
SWAPRK 24,39.23353809,-76.62389982
SWAPRK 25,39.23353479,-76.62341031
SWAPRK 26,39.23353456,-76.62292181
SWAPRK 28,39.2331821300000,-76.6626337650000
SWAPRK 29,39.2331833500000,-76.6258531500000
SWAPRK 30,39.23318882,-76.62534838
SWAPRK 31,39.23318558,-76.62487731
SWAPRK 32,39.23318289,-76.62438171
SWAPRK 33,39.23317975,-76.62389618
SWAPRK 34,39.23318307,-76.62340631
SWAPRK 37,39.2328360000000,-76.6263366900000
SWAPRK 38,39.2328389400000,-76.6258544800000
SWAPRK 39,39.2328330600000,-76.6253620900000
SWAPRK 40,39.2328383000000,-76.6248765700000
SWAPRK 41,39.23283729,-76.62438254
SWAPRK 42,39.23283778,-76.6238986
SWAPRK 46,39.2324815900000,-76.6263329800000
SWAPRK 48,39.2324879100000,-76.6253613200000
SWAPRK 49,39.2324948900000,-76.6248738800000
SWAPRK 50,39.232483,-76.62438243
SWAPRK 51,39.23248319,-76.62389454
SWAPRK 55,39.2321330200000,-76.6268294100000
SWAPRK 56,39.2321346600000,-76.6263411300000
SWAPRK 58,39.23214117,-76.6253571
SWAPRK 60,39.23213718,-76.62437829
SWAPRK 67,39.23178385,-76.62585127
SWAPRK 7,39.23423609,-76.62438144
SWAPRK 75,39.23144057,-76.62632964
SWAPRK 76,39.23144645,-76.62584238
SWAPRK 77,39.23143242,-76.62536056
SWAPRK 78,39.23143777,-76.6248699
SWAPRK 8,39.23423317,-76.62390441
SWAPRK 83,39.23108414,-76.62682565
SWAPRK 84,39.23101816,-76.6263408
SWAPRK 85,39.23108163,-76.62585085
SWAPRK 86,39.23107991,-76.62536379
SWAPRK 9,39.2342361,-76.62340896
