ID,Point Code,Measure,PSI Value
,BARPRK 1,1,N/A
,BARPRK 1,2,N/A
,BARPRK 1,3,N/A
,BARPRK 1,4,N/A
,BARPRK 1,5,N/A
,BARPRK 12,1,N/A
,BARPRK 12,3,N/A
,BARPRK 12,4,N/A
,BARPRK 12,5,N/A
,BARPRK 12 ,2,N/A
,BARPRK 13,1,N/A
,BARPRK 13,2,N/A
,BARPRK 13,3,N/A
,BARPRK 13,4,N/A
,BARPRK 13,5,N/A
,BARPRK 14,1,N/A
,BARPRK 14,2,N/A
,BARPRK 14,3,N/A
,BARPRK 14,4,N/A
,BARPRK 14,5,N/A
,BARPRK 16,1,N/A
,BARPRK 16,2,N/A
,BARPRK 16,3,N/A
,BARPRK 16,4,N/A
,BARPRK 16,5,N/A
,BARPRK 17,1,N/A
,BARPRK 17,2,N/A
,BARPRK 17,3,N/A
,BARPRK 17,4,N/A
,BARPRK 17,5,N/A
,BARPRK 18,1,N/A
,BARPRK 18,2,N/A
,BARPRK 18,3,N/A
,BARPRK 18,4,N/A
,BARPRK 18,5,N/A
,BARPRK 2,1,N/A
,BARPRK 2,2,N/A
,BARPRK 2,3,N/A
,BARPRK 2,4,N/A
,BARPRK 2,5,N/A
,BARPRK 3,1,N/A
,BARPRK 3,2,N/A
,BARPRK 3,3,N/A
,BARPRK 3,4,N/A
,BARPRK 3,5,N/A
,BARPRK 4,1,N/A
,BARPRK 4,2,N/A
,BARPRK 4,3,N/A
,BARPRK 4,4,N/A
,BARPRK 4,5,N/A
,BARPRK 5,1,N/A
,BARPRK 5,2,N/A
,BARPRK 5,3,N/A
,BARPRK 5,4,N/A
,BARPRK 5,5,N/A
,BARPRK 6,1,N/A
,BARPRK 6,2,N/A
,BARPRK 6,3,N/A
,BARPRK 6,4,N/A
,BARPRK 6,5,N/A
,BARPRK 7,1,N/A
,BARPRK 7,2,N/A
,BARPRK 7,3,N/A
,BARPRK 7,4,N/A
,BARPRK 7,5,N/A
,BARPRK 8,1,N/A
,BARPRK 8,2,N/A
,BARPRK 8,3,N/A
,BARPRK 8,4,N/A
,BARPRK 8,5,N/A
,BARPRK 9,1,N/A
,BARPRK 9,2,N/A
,BARPRK 9,3,N/A
,BARPRK 9,4,N/A
,BARPRK 9,5,N/A
,CAROLL 1,1,25
,CAROLL 1,2,20
,CAROLL 1,3,20
,CAROLL 1,4,20
,CAROLL 1,5,25
,CAROLL 10,1,50
,CAROLL 10,2,50
,CAROLL 10,3,50
,CAROLL 10,4,50
,CAROLL 10,5,50
,CAROLL 11,1,50
,CAROLL 11,2,50
,CAROLL 11,3,50
,CAROLL 11,4,50
,CAROLL 11,5,50
,CAROLL 12,1,25
,CAROLL 12,2,25
,CAROLL 12,3,25
,CAROLL 12,4,25
,CAROLL 12,5,25
,CAROLL 13,1,25
,CAROLL 13,2,25
,CAROLL 13,3,25
,CAROLL 13,4,10
,CAROLL 13,5,15
,CAROLL 15,1,20
,CAROLL 15,2,75
,CAROLL 15,3,30
,CAROLL 15,4,75
,CAROLL 15,5,50
,CAROLL 16,1,100
,CAROLL 16,2,50
,CAROLL 16,3,30
,CAROLL 16,4,25
,CAROLL 16,5,25
