ID,Point Code,Stem,Species Code,Schumaker
,BARPRK 1,1,LIST2,4
,BARPRK 1,2,LIST2,4
,BARPRK 1,1,PRSE2,0
,BARPRK 1,1,LITU,5
,BARPRK 1,2,LITU,3
,BARPRK 1,1,QUAL,4
,BARPRK 1,1,FRAM2,5
,BARPRK 12,1,LIST2,2
,BARPRK 12,2,LIST2,2
,BARPRK 12,3,LIST2,0
,BARPRK 12,4,LIST2,2
,BARPRK 12,1,ACRU,1
,BARPRK 12,2,ACRU,0
,BARPRK 12,1,QURU,3
,BARPRK 12,2,QURU,0
,BARPRK 13,1,JUNI,4
,BARPRK 13,2,JUNI,1
,BARPRK 13,3,JUNI,1
,BARPRK 13,4,JUNI,0
,BARPRK 13,1,QURU,4
,BARPRK 14,1,ACRU,3
,BARPRK 14,2,ACRU,2A
,BARPRK 14,3,ACRU,3
,BARPRK 14,4,ACRU,3
,BARPRK 14,5,ACRU,2A
,BARPRK 14,6,ACRU,0
,BARPRK 14,1,LIST2,3
,BARPRK 14,2,LIST2,2
,BARPRK 14,3,LIST2,3
,BARPRK 14,4,LIST2,3
,BARPRK 14,1,QURU,0
,BARPRK 16,1,PRAV,0
,BARPRK 16,2,PRAV,3
,BARPRK 16,1,PLATA,5
,BARPRK 16,2,PLATA,5
,BARPRK 16,3,PLATA,5
,BARPRK 16,4,PLATA,5
,BARPRK 16,1,LITU,5
,BARPRK 16,1,LIST2,5
,BARPRK 16,2,LIST2,0
,BARPRK 17,1,QUAL,0
,BARPRK 17,2,QUAL,2
,BARPRK 17,3,QUAL,0
,BARPRK 17,1,LIST2,4
,BARPRK 17,2,LIST2,0
,BARPRK 17,3,LIST2,2
,BARPRK 17,4,LIST2,0
,BARPRK 17,1,QUPH,0
,BARPRK 17,1,QURU,5
,BARPRK 17,1,ACRU,2
,BARPRK 17,1,LITU,0
,BARPRK 18,1,QUFA,3
,BARPRK 18,1,QUMA,1
,BARPRK 18,1,LIST2,2
,BARPRK 18,2,LIST2,1
,BARPRK 18,3,LIST2,2
,BARPRK 18,4,LIST2,4
,BARPRK 18,1,QURU,3
,BARPRK 18,2,QURU,4
,BARPRK 18,1,QUPA2,3
,BARPRK 2,1,FRAM2,5
,BARPRK 2,2,FRAM2,5
,BARPRK 2,3,FRAM2,4
,BARPRK 2,1,PRSE2,4
,BARPRK 2,1,LITU,4
,BARPRK 2,1,MOAL,0
,BARPRK 2,2,MOAL,4
,BARPRK 3,1,PRSE2,3
,BARPRK 3,1,LITU,3
,BARPRK 3,1,ACPL,2
,BARPRK 3,1,QURU,4
,BARPRK 3,2,QURU,4
,BARPRK 3,1,FRAM2,0
,BARPRK 3,1,MOAL,4
,BARPRK 4,1,CASP8,4
,BARPRK 4,2,CASP8,3
,BARPRK 4,1,LITU,2
,BARPRK 4,2,LITU,0
,BARPRK 4,1,ULAM,1
,BARPRK 4,2,ULAM,1
,BARPRK 5,1,LIST2,0
,BARPRK 5,1,CATO6,0
,BARPRK 5,1,CAGL8,0
,BARPRK 5,1,ACRU,3
,BARPRK 5,2,ACRU,3
,BARPRK 5,3,ACRU,2
,BARPRK 5,1,LITU,0
,BARPRK 6,1,QURU,3
