ID,Point Code,Layer Number,Starting Depth (mm),Ending Depth (mm),Hue,Texture,Value,Chroma
,BARPRK 1,1,0,120,2.5YR,SANDY LOAM,4,3
,BARPRK 12,1,0,70,7.5YR,LOAM,5,4
,BARPRK 13,1,0,40,10YR,SANDY CLAY LOAM,4,3
,BARPRK 14,1,0,50,10YR,SANDY LOAM,5,3
,BARPRK 16,1,0,150,10YR,LOAM,2,2
,BARPRK 17,1,0,70,10YR,SANDY LOAM,5,3
,BARPRK 18,1,0,50,10YR,LOAM,4,3
,BARPRK 2,1,0,205,7.5YR,SANDY LOAM,4,4
,BARPRK 3,1,0,70,10YR,LOAMY SAND,4,4
,BARPRK 4,1,0,60,10YR,LOAMY SAND,3,1
,BARPRK 5,1,0,70,10YR,LOAMY SAND,3,3
,BARPRK 6,1,0,45,10YR,LOAMY SAND,4,3
,BARPRK 7,1,0,45,10YR,SANDY LOAM,5,4
,BARPRK 8,1,0,60,2.5YR,LOAMY SAND,4,3
,BARPRK 9,1,0,30,10YR,SANDY LOAM,4,3
,CAROLL 1,1,0,80,10YR,SANDY LOAM,3,3
,CAROLL 10,1,0,50,10YR,SANDY CLAY LOAM,3,6
,CAROLL 10,2,50,120,10YR,SANDY LOAM,4,6
,CAROLL 11,1,0,90,10YR,SANDY CLAY,5,3
,CAROLL 12,1,0,60,10YR,LOAMY SAND,4,2
,CAROLL 13,1,0,60,7.5YR,SANDY LOAM,5,6
,CAROLL 13,2,60,130,10YR,LOAMY SAND,4,2
,CAROLL 15,1,0,90,10yr,SANDY LOAM,3,4
,CAROLL 16,1,0,90,10YR,LOAM,4,4
,CAROLL 16,2,90,140,10YR,CLAY,5,8
,CAROLL 17,1,0,60,10YR,SANDY CLAY LOAM,3,4
,CAROLL 18,1,0,90,10YR,SANDY CLAY LOAM,3,3
,CAROLL 19,1,0,40,10YR,CLAY LOAM,3,2
,CAROLL 19,2,40,60,10YR,LOAMY SAND,4,6
,CAROLL 22,1,0,100,10YR,SANDY CLAY LOAM,4,2
,CAROLL 23,1,0,90,10YR,SANDY CLAY LOAM,4,3
,CAROLL 24,1,0,170,10YR,CLAY,3,3
,CAROLL 25,1,0,120,10YR,SANDY LOAM,3,6
,CAROLL 29,1,0,90,10YR,SANDY LOAM,3,4
,CAROLL 30,1,0,75,10YR,SANDY CLAY LOAM,3,1
,CAROLL 30,2,75,185,10YR,SILTY CLAY LOAM,6,6
,CAROLL 36,1,0,675,10YR,CLAY LOAM,4,4
,CAROLL 4,1,0,50,10YR,LOAMY SAND,3,4
,CAROLL 42,1,0,130,10YR,CLAY LOAM,4,3
,CAROLL 43,1,0,100,10YR,SANDY LOAM,5,6
,CAROLL 49,1,0,80,7.5YR,SANDY LOAM,4,6
,CAROLL 5,1,0,80,10YR,SANDY LOAM,3,1
,CAROLL 2,1,0,5.5,10YR,LAOMY SAND,4,4
,CAROLL 20,1,0,5,10YR,LOAMY SAND,3,4
,CAROLL 6,1,0,8,10YR,SANDY LAOM ,3,1
,CLIFTON 1,1,0,190,10YR,SANDY LOAM,4,2
,CLIFTON 10,1,0,110,10YR,SANDY CLAY,3,1
,CLIFTON 11,1,0,120,10YR,SANDY LOAM,3,3
,CLIFTON 18,1,0,150,10YR,SANDY LOAM,3,3
,CLIFTON 19,1,0,140,7.5YR,SANDY LOAM,5,3
,CLIFTON 20,1,0,210,10YR,SANDY LOAM,4,2
,CLIFTON 3,1,0,120,10YR,SANDY LOAM,4,4
,CLIFTON 4,1,0,70,10YR,SANDY LOAM,3,2
,CLIFTON 12,1,0,12,10YR,CLAY ,4,3
,CLIFTON 14,1,0,10,10YR,SANDY CLAY LOAM,3,4
,CLIFTON 17,1,0,17,10YR,SANDY CLAY LOAM,4,3
,CLIFTON 22,1,0,17,10YR,SANDY CLAY LOAM,3,3
,CLIFTON 23,1,0,21,10YR,SANDY LOAM ,3,4
,CLIFTON 6,1,0,11,10YR,CLAY,5,4
,CLIFTON 9,1,0,11,10YR,SANDY CLAY LOAM ,3,4
,FENDAL 10,1,0,110,10YR,LOAMY SAND,3,4
,FENDAL 102,1,0,70,10YR,LOAMY SAND,4,2
,FENDAL 103,1,0,120,10YR,LOAMY SAND,3,4
,FENDAL 104,1,0,85,10YR,LOAM,4,4
,FENDAL 105,1,0,95,10YR,SILT LOAM,2,2
,FENDAL 109,1,0,100,10YR,SANDY LOAM,4,2
,FENDAL 110,1,0,60,10YR,N/A,3,3
,FENDAL 111,1,0,135,10YR,SILTY LOAM,2,1
,FENDAL 112,1,0,20,10YR,N/A,2,1
,FENDAL 112,2,0,70,10YR,LOAMY SAND,3,3
,FENDAL 116,1,0,90,10YR,LOAMY SAND,4,2
,FENDAL 14,1,0,170,10YR,SANDY CLAY,2,1
,FENDAL 14,2,170,200,10YR,SILTY CLAY LOAM,4,3
