"1","HEHE","7","SGDW 2",
"2","ACPL","1","SGDW 2","yes"
"3","Unknown 1","1","SGDW 2","yes"
"4","CEOR7","45","SGDW 1",
"5","TORA2","7","SGDW 1",
"6","HEHE","15","SGDW 1",
"7","LOJA","7","SGDW 1",
"8","ROMU","1","SGDW 1","yes"
"9","LOJA","24","SGDW 5",
"10","ROMU","21","SGDW 5",
"11","HEHE","7","SGDW 5",
"12","CEOR7","2","SGDW 5",
"13","OXST","1","SGDW 5",
"14","SAMA2","1","SGDW 5","yes"
"15","SOCA6","4","SGDW 5",
"16","FRPE","14","SGDW 7",
"17","LITU","2","SGDW 7",
"18","HEHE","3","SGDW 7",
"19","LOJA","10","SGDW 7",
"20","TORA2","1","SGDW 7",
"21","VIAC","5","SGDW 6",
"22","CEOR7","1","SGDW 6",
"23","FRPE","12","SGDW 6",
"24","VIDE","8","SGDW 6",
"25","FRAM2","22","SGDW 6",
"26","EUAM9","1","SGDW 6","yes"
"27","AMCA4","1","SGDW 6",
"28","ACRU","1","SGDW 6","yes"
"48","HEHE","20","SGDW 4",
"49","QUVE","2","SGDW 4",
"50","PAQU2","4","SGDW 4",
"51","LOJA","4","SGDW 4",
"52","PRSE2","1","SGDW 4","yes"
"53","FRPE","8","SGDW 4",
"54","Unknown 1","1","SGDW 4",
"55","CEOR7","1","SGDW 4","yes"
"56","Unknown 3","1","SGDW 4","yes"
"57","COFL2","20","SGDW 3",
"58","VIAC","13","SGDW 3",
"59","QUAL","1","SGDW 3","yes"
"60","LOJA","1","SGDW 3",
"61","FRPE","5","SGDW 3",
"62","VIAC","1","SGDW 3","yes"
"63","PRSE2","1","SGDW 8",
"64","HEHE","1","SGDW 8","yes"
"65","ACRU","1","SGDW 8","yes"
"66","LITU","1","SGDW 8","yes"
"67","TORA2","12","SGDW 12",
"68","HEHE","6","SGDW 12",
"70","HEHE","21","SGDW 9",
"71","FRAM2","2","SGDW 9",
"72","NYSY","6","SGDW 9",
"73","PAQU2","1","SGDW 9",
"74","CEOR7","28","SGDW 10",
"75","HEHE","7","SGDW 10",
"76","LOJA","4","SGDW 10",
"77","SOCA6","17","SGDW 10",
"78","DUIN2","3","SGDW 10",
"79","VIDE","2","SGDW 10",
"80","IPPU2","7","SGDW 10",
"81","ACNE2","2","SGDW 10",
"82","HEHE","21","SGDW 11",
"83","CEOR7","2","SGDW 11",
"84","VIDE","1","SGDW 11",
"85","LIBE3","3","SGDW 11",
"86","QUVE","1","SGDW 11",
"87","ARTR","2","SGDW 11",
"69","ROMU","2","SGDW 12",
"88","CLTE4","9","JH 4",
"89","DUIN2","2","JH 4",
"90","ALPE4","5","JH 4",
"91","ULRU","9","JH 4",
"92","MIVI","9","JH 4",
"93","VIMI2","2","JH 4",
"94","VIRI","9","JH 4",
"95","ASCA","5","JH 4",
"96","CEOR7","5","JH 4",
"97","RUBUS","3","JH 4",
"98","RUPH","25","JH 4",
"99","IPCA","10","JH 4",
"100","AGALA","5","JH 4",
"101","PRSE2","3","JH 1",
"102","VIMI2","2","JH 1",
"103","LOMA6","15","JH 3",
"104","DUIN2","20","JH 3",
"105","ALPE4","2","JH 3",
"106","CEOR7","3","JH 3",
"107","HEHE","10","JH 3",
"108","Moss","10","JH 3",
"109","GECA7","10","JH 3",
"110","PRSE2","5","JH 5",
"111","VIMI2","15","JH 5",
"112","PAQU2","5","JH 5",
"113","VIRI","15","JH 5",
"114","TAOF","5","JH 5",
"115","CEOR7","5","JH 5",
"116","SOLID","10","JH 5",
"117","FESU3","30","JH 5",
"118","JUNCU","5","JH 5",
"119","LOMA6","14","JH 6",
"120","VIMI2","14","JH 6",
"121","LOJA","10","JH 6",
"122","DUIN2","5","JH 6",
"123","FRAXI","5","JH 6",
"124","PRSE2","5","JH 6",
"125","TAOF","1","JH 6","yes"
"126","VIRI","1","JH 6","yes"
"127","HEHE","5","JH 6",
"128","VIMI2","25","JH 7",
"129","DUIN2","35","JH 7",
"130","LOJA","5","JH 7",
"131","LIBE3","5","JH 7",
"132","VIMI2","85","JH 8",
"133","PAQU2","5","JH 8",
"134","TORA2","5","JH 8",
"135","LIBE3","5","JH 8",
"136","VIMI2","85","JH 9",
"137","DUIN2","3","JH 9",
"138","LOJA","2","JH 9",
"139","PAQU2","15","JH 10",
"140","VIMI2","15","JH 10",
"141","DUIN2","5","JH 10",
"142","ASCA","5","JH 10",
"143","LOJA","5","JH 10",
"144","LOMA6","10","JH 10",
"145","CLTE4","3","JH 10",
"146","RUPH","5","JH 10",
"147","GLHE2","7","JH 10",
"148","TORA2","1","JH 10","yes"
"149","CEOR7","1","JH 10","yes"
"150","VIRI","5","JH 10",
"151","ASCA","5","JH 11",
"152","HEHE","3","JH 11",
"153","PAQU2","5","JH 11",
"154","VIRI","4","JH 11",
"155","CEOR7","5","JH 11",
"156","LOJA","2","JH 11",
"157","MOAL","1","JH 11",
"158","CLTE4","5","JH 12",
"159","ROMU","20","JH 12",
"160","ASCA","10","JH 12",
"161","VIMI2","5","JH 12",
"162","DUIN2","4","JH 12",
"163","LOMA6","50","JH 12",
"164","TAOF","1","JH 12",
"165","VIRI","5","JH 12",
"166","HEHE","50","JH 13",
"167","LOMA6","3","JH 13",
"168","VIRI","3","JH 13",
"169","CEOR7","1","JH 13","yes"
"170","ROMU","1","JH 13","yes"
"171","VIMI2","1","JH 13","yes"
"172","PRSE2","1","JH 13","yes"
"173","VIMI2","40","JH 14",
"174","TORA2","5","JH 14",
"175","PAQU2","10","JH 14",
"176","ROMU","3","JH 14",
"177","LOJA","2","JH 14",
"178","DUIN2","3","JH 14",
"179","CEOR7","5","JH 14",
"180","LIBE3","12","JH 14",
"181","VIMI2","90","JH 15",
"182","TORA2","2","JH 15",
"183","LOMA6","6","JH 15",
"184","HEMER","2","JH 15",
"185","PAQU2","10","W 1",
"186","VIRI","10","W 1",
"187","TORA2","15","W 1",
"188","LOJA","5","W 1",
"189","HEHE","20","W 1",
"190","WISI","50","W 2",
"191","SMILA2","20","W 2",
"192","HEHE","5","W 2",
"193","HEHE","60","W 3",
"194","ROMU","10","W 3",
"195","LOJA","5","W 3",
"196","TORA2","40","W 4",
"197","HEHE","20","W 4",
"198","SMILA2","10","W 4",
"199","LOJA","5","W 4",
"200","LITU","30","HEPP 7",
"201","QUAL","5","HEPP 7",
"202","ACRU","1","HEPP 7",
"203","PRSE2","2","HEPP 7",
"204","SMILA2","1","HEPP 7","yes"
"205","RUPE3","2","HEPP 7",
"206","FAGR","2","HEPP 3",
"207","PRSE2","1","HEPP 3","yes"
"208","SMILA2","20","HEPP 4",
"209","ACRU","4","HEPP 4",
"210","PRSE2","1","HEPP 4","yes"
"211","CALU5","1","HEPP 4","yes"
"212","SMILA2","10","HEPP 5",
"213","VIDE","20","HEPP 5",
"214","PRSE2","1","HEPP 6",
"215","ACRU","1","HEPP 8","yes"
"216","SMILA2","50","HEPP 9",
"217","ACRU","10","HEPP 9",
"218","PRSE2","1","HEPP 9",
"219","Moss","12","HEPP 9",
"220","AMARA5","2","HEPP 9",
"221","RUPE3","35","HEPP 10",
"222","SMILA2","25","HEPP 10",
"223","PRSE2","2","HEPP 10",
"224","NYSY","3","HEPP 10",
"225","ANVI2","3","HEPP 11",
"226","CALU5","42","HEPP 11",
"227","LOJA","3","HEPP 11",
"228","PRSE2","1","HEPP 11",
"229","VIDE","1","HEPP 11","yes"
"230","AMARA5","1","HEPP 11","yes"
"231","RUPE3","5","HEPP 12",
"232","MIVI","5","HEPP 12",
"233","PRSE2","5","HEPP 12",
"234","ACRU","10","HEPP 12",
"235","SMILA2","1","HEPP 12","yes"
"236","Carex sp.","1","HEPP 12","yes"
"237","NYSY","1","HEPP 13",
"238","LOJA","10","G 1",
"239","HEHE","15","G 1",
"240","PAQU2","5","G 1",
"241","VIRI","15","G 1",
"242","ALPE4","24","G 1",
"243","ALLIU","1","G 1",
"244","ROMU","5","G 1",
"245","VIRI","40","G 2",
"246","HEHE","15","G 2",
"247","PRSE2","1","G 2",
"248","HISY","4","G 2",
"249","ERAN","35","G 3",
"250","RUPH","5","G 3",
"251","HEHE","5","G 3",
"252","OXALI","2","G 3",
"253","ANVI2","3","G 3",
"254","RUAL","1","JHU 23",
"255","ROMU","1","JHU 24",
"256","CEOR7","1","JHU 25",
"257","HEHE","1","JHU 3",
"258","POLYG2","1","JHU 30",
"259","LITU","1","JHU 39",
"260","CEOR7","1","JHU 49",
"261","CEOR7","1","JHU 55",
"262","TORA2","1","JHU 55",
"263","LONIC","1","JHU 56",
"264","VISO","2","JHU 12",
"265","VISO","2","JHU 21",
"266","CHAEN6","2","JHU 22",
"267","PAQU2","2","JHU 28",
"268","AGALA","2","JHU 29",
"269","HEHE","2","JHU 32",
"270","HEHE","2","JHU 38",
"271","SASSA","2","JHU 42",
"272","TORA2","2","JHU 48",
"273","GECA7","2","JHU 50",
"274","AMBR7","2","JHU 53",
"275","CEOR7","2","JHU 53",
"276","PAQU2","2","JHU 55",
"277","Unidentified","2","JHU 61",
"278","PLMA2","3","JHU 14",
"279","EUFOR2","3","JHU 16",
"280","FRAXI","3","JHU 19",
"281","CECA4","3","JHU 19",
"282","HEHE","3","JHU 20",
"283","HEHE","3","JHU 23",
